          Time          |   Accel XYZ(m/s^2)  |     Accel XYZ(G)    |  Accel XYZ(raw ADC) |   Gyro XYZ (rad/s)  |   Gyro XYZ (deg/s)  |  Gyro XYZ (raw ADC) |  Mag Field XYZ(uT)  | Temp (C)
2023-11-08 00:57:13.627 |  0.82   0.45   9.85 |  0.08   0.05   1.00 |   342    189   4154 |   0.0    0.0    0.0 |   1.2    1.0    0.7 |    20     16     11 |   2.4  -18.9  -89.7 | 33.25    
2023-11-08 00:57:13.663 |  0.69   0.38   9.84 |  0.07   0.04   1.00 |   287    161   4153 |   0.0    0.0   -0.0 |   0.4    0.7   -0.3 |     7     12     -5 |   1.2  -19.2  -91.8 | 33.33    
2023-11-08 00:57:13.702 |  0.47   0.35   9.80 |  0.05   0.04   1.00 |   198    148   4134 |   0.0    0.0   -0.0 |   0.7    0.1   -0.6 |    11      2    -10 |   0.2  -21.1  -91.3 | 33.39    
2023-11-08 00:57:13.740 |  0.70   0.44   9.89 |  0.07   0.04   1.01 |   293    184   4170 |   0.0    0.0   -0.0 |   0.4    0.1   -0.5 |     7      2     -8 |   2.7  -20.1  -92.3 | 33.44    
2023-11-08 00:57:13.778 |  0.63   0.32   9.85 |  0.06   0.03   1.00 |   264    135   4155 |   0.0    0.0   -0.0 |   0.5    0.2   -0.1 |     9      4     -1 |   1.0  -21.8  -91.6 | 33.44    
2023-11-08 00:57:13.816 |  0.66   0.35   9.89 |  0.07   0.04   1.01 |   275    148   4172 |   0.0   -0.0   -0.0 |   0.8   -0.1   -0.2 |    13     -2     -4 |  -0.5  -20.4  -90.6 | 33.49    
2023-11-08 00:57:13.854 |  0.77   0.43   9.91 |  0.08   0.04   1.01 |   324    179   4180 |   0.0    0.0   -0.0 |   0.8    0.6   -0.3 |    13     10     -5 |   1.2  -20.1  -91.8 | 33.56    
2023-11-08 00:57:13.893 |  0.58   0.32   9.81 |  0.06   0.03   1.00 |   241    133   4137 |   0.0    0.0   -0.0 |   0.7    0.4   -0.5 |    11      7     -8 |   1.0  -21.8  -89.7 | 33.60    
2023-11-08 00:57:13.931 |  0.53   0.32   9.87 |  0.05   0.03   1.01 |   222    133   4162 |   0.0    0.0   -0.0 |   0.5    0.1   -0.3 |     9      1     -5 |   1.7  -20.1  -90.4 | 33.62    
2023-11-08 00:57:13.969 |  0.71   0.48   9.89 |  0.07   0.05   1.01 |   297    200   4170 |   0.0    0.0   -0.0 |   0.7    0.2   -0.2 |    11      4     -4 |  -1.2  -19.6  -90.4 | 33.71    
2023-11-08 00:57:14.007 |  0.59   0.38   9.88 |  0.06   0.04   1.01 |   247    159   4169 |   0.0    0.0   -0.0 |   0.7    0.5   -0.3 |    12      9     -5 |   1.2  -21.1  -92.7 | 33.81    
2023-11-08 00:57:14.045 |  0.52   0.32   9.84 |  0.05   0.03   1.00 |   219    132   4149 |   0.0    0.0   -0.0 |   0.5    0.3   -0.2 |     9      5     -4 |   0.5  -19.4  -90.2 | 33.82    
2023-11-08 00:57:14.084 |  0.70   0.41   9.94 |  0.07   0.04   1.01 |   291    170   4194 |   0.0    0.0    0.0 |   0.6    0.1    0.0 |    10      1      0 |   3.7  -21.1  -92.7 | 33.82    
2023-11-08 00:57:14.122 |  0.64   0.37   9.96 |  0.07   0.04   1.02 |   268    155   4200 |   0.0    0.0   -0.0 |   0.7    0.1   -0.5 |    11      2     -8 |  -1.2  -20.6  -91.8 | 33.83    
2023-11-08 00:57:14.160 |  0.64   0.23   9.68 |  0.07   0.02   0.99 |   269     96   4084 |   0.0   -0.0   -0.0 |   0.1   -1.1   -0.8 |     2    -18    -13 |   0.5  -21.4  -89.2 | 33.86    
2023-11-08 00:57:14.199 |  0.70   0.32   9.65 |  0.07   0.03   0.98 |   294    132   4071 |   0.0    0.0   -0.0 |   0.5    2.1   -0.1 |     9     35     -2 |   1.7  -20.1  -93.6 | 33.89    
2023-11-08 00:57:14.237 |  0.84   0.38   9.91 |  0.09   0.04   1.01 |   353    158   4179 |   0.0    0.0   -0.0 |   0.5    1.6   -0.7 |     8     26    -11 |   1.5  -21.8  -92.0 | 33.91    
2023-11-08 00:57:14.275 |  0.18   0.34   9.81 |  0.02   0.03   1.00 |    75    143   4138 |   0.0   -0.0   -0.1 |   1.5   -0.9   -3.7 |    25    -14    -60 |   0.2  -19.2  -92.7 | 34.00    
2023-11-08 00:57:14.314 |  0.60   0.43   9.84 |  0.06   0.04   1.00 |   250    180   4150 |   0.0   -0.0    0.0 |   0.7   -0.2    0.1 |    12     -3      1 |   1.2  -21.6  -89.0 | 34.01    
2023-11-08 00:57:14.352 |  0.82   0.38   9.96 |  0.08   0.04   1.02 |   343    159   4202 |   0.0    0.0   -0.0 |   0.6    0.3   -0.5 |    10      5     -9 |   0.5  -22.3  -91.6 | 34.02    
2023-11-08 00:57:14.391 |  0.46   0.27   9.86 |  0.05   0.03   1.01 |   193    114   4159 |   0.0    0.0   -0.0 |   0.7    0.2   -0.4 |    11      4     -7 |   1.2  -20.1  -89.9 | 34.07    
2023-11-08 00:57:14.429 |  0.77   0.37   9.85 |  0.08   0.04   1.00 |   321    157   4156 |   0.0    0.0   -0.0 |   0.5    0.1   -0.1 |     9      1     -1 |   1.7  -21.1  -89.5 | 34.04    
2023-11-08 00:57:14.468 |  0.04  -0.00   9.38 |  0.00  -0.00   0.96 |    16     -2   3957 |   0.0   -0.0    0.0 |   0.7   -0.5    0.8 |    12     -9     13 |   2.2  -21.1  -91.3 | 34.06    
2023-11-08 00:57:14.506 |  1.37   0.97  10.05 |  0.14   0.10   1.02 |   571    407   4239 |   0.0   -0.0   -0.0 |   0.4   -0.7   -0.4 |     6    -12     -6 |   0.0  -18.9  -88.8 | 34.15    
2023-11-08 00:57:14.544 |  1.11   2.56  13.20 |  0.11   0.26   1.35 |   466   1072   5567 |  -0.3   -0.0    0.0 | -19.2   -2.8    2.3 |  -314    -46     38 |   0.5  -20.9  -91.1 | 34.10    
2023-11-08 00:57:14.582 |  2.97   0.64   9.07 |  0.30   0.06   0.92 |  1242    267   3825 |   0.4    0.5   -0.1 |  23.1   28.3   -4.8 |   379    464    -79 |   1.2  -21.1  -93.6 | 34.14    
2023-11-08 00:57:14.620 |  3.06  -0.37  11.63 |  0.31  -0.04   1.19 |  1279   -153   4907 |  -0.6    0.1    1.0 | -32.4    4.7   54.9 |  -531     77    900 |   0.7  -20.1  -93.2 | 34.17    
2023-11-08 00:57:14.659 | -4.24   0.41  22.15 | -0.43   0.04   2.26 | -1774    172   9343 |  -3.4    0.5   -0.8 |-193.1   27.3  -47.7 | -3164    448   -782 |  -1.7  -17.7  -95.0 | 34.22    
2023-11-08 00:57:14.697 |  1.58   0.55  16.95 |  0.16   0.06   1.73 |   661    231   7150 |  -7.0    1.1   -2.1 |-402.7   65.9 -118.3 | -6598   1079  -1939 |   2.2   -7.9  -96.0 | 34.22    
2023-11-08 00:57:14.736 |  1.19   1.24  14.94 |  0.12   0.13   1.52 |   496    520   6302 |  -9.5    1.7   -0.3 |-543.3   96.6  -18.7 | -8902   1582   -307 |   3.2   18.6  -94.6 | 34.19    
2023-11-08 00:57:14.774 |  1.20   0.54  11.60 |  0.12   0.06   1.18 |   500    226   4893 |  -8.5    1.7   -0.7 |-488.2   95.2  -38.8 | -7998   1559   -636 |   2.4   38.9  -81.8 | 34.27    
2023-11-08 00:57:14.812 |  3.66  -2.56   8.99 |  0.37  -0.26   0.92 |  1531  -1072   3791 |  -7.8    1.2   -0.7 |-445.3   68.7  -42.0 | -7296   1126   -688 |   2.2   51.9  -72.7 | 34.27    
2023-11-08 00:57:14.850 |  1.91  -2.49   4.94 |  0.19  -0.25   0.50 |   797  -1042   2085 |  -7.8    1.7   -0.2 |-449.0   95.4  -12.5 | -7356   1563   -205 |   5.6   63.6  -52.3 | 34.32    
2023-11-08 00:57:14.888 |  1.27  -0.58  -1.74 |  0.13  -0.06  -0.18 |   529   -244   -736 |  -6.8    1.6    0.0 |-389.4   91.7    0.5 | -6380   1502      9 |   5.6   67.5  -32.3 | 34.35    
2023-11-08 00:57:14.926 |  0.68  -0.22  -5.77 |  0.07  -0.02  -0.59 |   284    -94  -2434 |  -5.8   -0.3   -1.0 |-333.3  -19.0  -58.3 | -5460   -311   -956 |   5.1   68.0  -12.3 | 34.29    
